date,close,open, open1
2018,45636,52265, 10000
2017,41583,46845, 10000
2016,39779,44430, 10000
2015,37009,41047,10000 
2014,34618,38822,10000
2013,31992,35408,10000
2012,28758,32049,10000
2011,25097,28351,10000
2010,22332,25761,10000
2009,21725,25321,10000
2008,21590,25775,10000
2007,20566,24507,10000
2006,19838,23748,10000
2005,18147,22371,10000
